,0,1
596,Whitehouse (D-RI),Not Voting
597,Wicker (R-MS),Nay
598,Wyden (D-OR),Yea
599,Young (R-IN),Nay
600,Alexander (R-TN),Not Voting
601,Baldwin (D-WI),Yea
602,Barrasso (R-WY),Nay
603,Bennet (D-CO),Yea
604,Blackburn (R-TN),Nay
605,Blumenthal (D-CT),Yea
606,Blunt (R-MO),Yea
607,Booker (D-NJ),Not Voting
608,Boozman (R-AR),Nay
609,Braun (R-IN),Nay
610,Brown (D-OH),Yea
611,Burr (R-NC),Nay
612,Cantwell (D-WA),Yea
613,Capito (R-WV),Nay
614,Cardin (D-MD),Yea
615,Carper (D-DE),Yea
616,Casey (D-PA),Yea
617,Cassidy (R-LA),Not Voting
618,Collins (R-ME),Yea
619,Coons (D-DE),Yea
620,Cornyn (R-TX),Not Voting
621,Cortez Masto (D-NV),Yea
622,Cotton (R-AR),Nay
623,Cramer (R-ND),Nay
624,Crapo (R-ID),Nay
625,Cruz (R-TX),Not Voting
626,Daines (R-MT),Nay
627,Duckworth (D-IL),Yea
628,Durbin (D-IL),Yea
629,Enzi (R-WY),Nay
630,Ernst (R-IA),Nay
631,Feinstein (D-CA),Yea
632,Fischer (R-NE),Nay
633,Gardner (R-CO),Nay
634,Gillibrand (D-NY),Yea
635,Graham (R-SC),Nay
636,Grassley (R-IA),Nay
637,Harris (D-CA),Not Voting
638,Hassan (D-NH),Yea
639,Hawley (R-MO),Nay
640,Heinrich (D-NM),Yea
641,Hirono (D-HI),Yea
642,Hoeven (R-ND),Nay
643,Hyde-Smith (R-MS),Nay
644,Inhofe (R-OK),Nay
645,Isakson (R-GA),Not Voting
646,Johnson (R-WI),Nay
647,Jones (D-AL),Yea
648,Kaine (D-VA),Yea
649,Kennedy (R-LA),Nay
650,King (I-ME),Yea
651,Klobuchar (D-MN),Not Voting
652,Lankford (R-OK),Nay
653,Leahy (D-VT),Yea
654,Lee (R-UT),Yea
655,Manchin (D-WV),Yea
656,Markey (D-MA),Yea
657,McConnell (R-KY),Nay
658,McSally (R-AZ),Nay
659,Menendez (D-NJ),Yea
660,Merkley (D-OR),Yea
661,Moran (R-KS),Not Voting
662,Murkowski (R-AK),Yea
663,Murphy (D-CT),Yea
664,Murray (D-WA),Yea
665,Paul (R-KY),Yea
666,Perdue (R-GA),Not Voting
667,Peters (D-MI),Yea
668,Portman (R-OH),Yea
669,Reed (D-RI),Yea
670,Risch (R-ID),Nay
671,Roberts (R-KS),Nay
672,Romney (R-UT),Yea
673,Rosen (D-NV),Yea
674,Rounds (R-SD),Nay
675,Rubio (R-FL),Yea
676,Sanders (I-VT),Not Voting
677,Sasse (R-NE),Nay
678,Schatz (D-HI),Yea
679,Schumer (D-NY),Yea
680,Scott (R-FL),Nay
681,Scott (R-SC),Nay
682,Shaheen (D-NH),Yea
683,Shelby (R-AL),Nay
684,Sinema (D-AZ),Yea
685,Smith (D-MN),Yea
686,Stabenow (D-MI),Yea
687,Sullivan (R-AK),Nay
688,Tester (D-MT),Yea
689,Thune (R-SD),Nay
690,Tillis (R-NC),Nay
691,Toomey (R-PA),Yea
692,Udall (D-NM),Yea
693,Van Hollen (D-MD),Yea
694,Warner (D-VA),Yea
695,Warren (D-MA),Yea
696,Whitehouse (D-RI),Yea
697,Wicker (R-MS),Yea
698,Wyden (D-OR),Yea
699,Young (R-IN),Nay
700,Alexander (R-TN),Not Voting
701,Baldwin (D-WI),Yea
702,Barrasso (R-WY),Nay
703,Bennet (D-CO),Yea
704,Blackburn (R-TN),Nay
705,Blumenthal (D-CT),Yea
706,Blunt (R-MO),Nay
707,Booker (D-NJ),Not Voting
708,Boozman (R-AR),Nay
709,Braun (R-IN),Nay
710,Brown (D-OH),Yea
711,Burr (R-NC),Nay
712,Cantwell (D-WA),Yea
713,Capito (R-WV),Nay
714,Cardin (D-MD),Yea
715,Carper (D-DE),Yea
716,Casey (D-PA),Yea
717,Cassidy (R-LA),Nay
718,Collins (R-ME),Yea
719,Coons (D-DE),Yea
720,Cornyn (R-TX),Nay
721,Cortez Masto (D-NV),Yea
722,Cotton (R-AR),Nay
723,Cramer (R-ND),Nay
724,Crapo (R-ID),Nay
725,Cruz (R-TX),Nay
726,Daines (R-MT),Nay
727,Duckworth (D-IL),Yea
728,Durbin (D-IL),Yea
729,Enzi (R-WY),Nay
730,Ernst (R-IA),Nay
731,Feinstein (D-CA),Yea
732,Fischer (R-NE),Nay
733,Gardner (R-CO),Nay
734,Gillibrand (D-NY),Yea
735,Graham (R-SC),Nay
736,Grassley (R-IA),Nay
737,Harris (D-CA),Not Voting
738,Hassan (D-NH),Yea
739,Hawley (R-MO),Nay
740,Heinrich (D-NM),Yea
741,Hirono (D-HI),Yea
742,Hoeven (R-ND),Nay
743,Hyde-Smith (R-MS),Nay
744,Inhofe (R-OK),Nay
745,Isakson (R-GA),Not Voting
746,Johnson (R-WI),Nay
747,Jones (D-AL),Nay
748,Kaine (D-VA),Yea
749,Kennedy (R-LA),Nay
750,King (I-ME),Yea
751,Klobuchar (D-MN),Not Voting
752,Lankford (R-OK),Nay
753,Leahy (D-VT),Yea
754,Lee (R-UT),Nay
755,Manchin (D-WV),Nay
756,Markey (D-MA),Yea
757,McConnell (R-KY),Nay
758,McSally (R-AZ),Nay
759,Menendez (D-NJ),Yea
760,Merkley (D-OR),Yea
761,Moran (R-KS),Nay
762,Murkowski (R-AK),Nay
763,Murphy (D-CT),Yea
764,Murray (D-WA),Yea
765,Paul (R-KY),Nay
766,Perdue (R-GA),Nay
767,Peters (D-MI),Yea
768,Portman (R-OH),Nay
769,Reed (D-RI),Yea
770,Risch (R-ID),Nay
771,Roberts (R-KS),Nay
772,Romney (R-UT),Nay
773,Rosen (D-NV),Yea
774,Rounds (R-SD),Nay
775,Rubio (R-FL),Nay
776,Sanders (I-VT),Not Voting
777,Sasse (R-NE),Nay
778,Schatz (D-HI),Yea
779,Schumer (D-NY),Yea
780,Scott (R-FL),Nay
781,Scott (R-SC),Nay
782,Shaheen (D-NH),Yea
783,Shelby (R-AL),Nay
784,Sinema (D-AZ),Nay
785,Smith (D-MN),Yea
786,Stabenow (D-MI),Yea
787,Sullivan (R-AK),Nay
788,Tester (D-MT),Yea
789,Thune (R-SD),Nay
790,Tillis (R-NC),Nay
791,Toomey (R-PA),Nay
792,Udall (D-NM),Yea
793,Van Hollen (D-MD),Yea
794,Warner (D-VA),Yea
795,Warren (D-MA),Yea
796,Whitehouse (D-RI),Yea
797,Wicker (R-MS),Nay
798,Wyden (D-OR),Yea
799,Young (R-IN),Nay
800,Alexander (R-TN),Yea
801,Baldwin (D-WI),Nay
802,Barrasso (R-WY),Yea
803,Bennet (D-CO),Nay
804,Blackburn (R-TN),Yea
805,Blumenthal (D-CT),Nay
806,Blunt (R-MO),Yea
807,Booker (D-NJ),Not Voting
808,Boozman (R-AR),Yea
809,Braun (R-IN),Yea
810,Brown (D-OH),Nay
811,Burr (R-NC),Not Voting
812,Cantwell (D-WA),Nay
813,Capito (R-WV),Yea
814,Cardin (D-MD),Nay
815,Carper (D-DE),Nay
816,Casey (D-PA),Nay
817,Cassidy (R-LA),Yea
818,Collins (R-ME),Yea
819,Coons (D-DE),Nay
820,Cornyn (R-TX),Yea
821,Cortez Masto (D-NV),Nay
822,Cotton (R-AR),Yea
823,Cramer (R-ND),Yea
824,Crapo (R-ID),Yea
825,Cruz (R-TX),Yea
826,Daines (R-MT),Yea
827,Duckworth (D-IL),Nay
828,Durbin (D-IL),Nay
829,Enzi (R-WY),Yea
830,Ernst (R-IA),Yea
831,Feinstein (D-CA),Nay
832,Fischer (R-NE),Yea
833,Gardner (R-CO),Yea
834,Gillibrand (D-NY),Nay
835,Graham (R-SC),Yea
836,Grassley (R-IA),Yea
837,Harris (D-CA),Not Voting
838,Hassan (D-NH),Nay
839,Hawley (R-MO),Yea
840,Heinrich (D-NM),Nay
841,Hirono (D-HI),Nay
842,Hoeven (R-ND),Yea
843,Hyde-Smith (R-MS),Yea
844,Inhofe (R-OK),Yea
845,Isakson (R-GA),Yea
846,Johnson (R-WI),Yea
847,Jones (D-AL),Yea
848,Kaine (D-VA),Nay
849,Kennedy (R-LA),Yea
850,King (I-ME),Yea
851,Klobuchar (D-MN),Nay
852,Lankford (R-OK),Yea
853,Leahy (D-VT),Nay
854,Lee (R-UT),Yea
855,Manchin (D-WV),Yea
856,Markey (D-MA),Nay
857,McConnell (R-KY),Yea
858,McSally (R-AZ),Yea
859,Menendez (D-NJ),Nay
860,Merkley (D-OR),Nay
861,Moran (R-KS),Yea
862,Murkowski (R-AK),Yea
863,Murphy (D-CT),Nay
