,Senator Name,Decision,Bill
628,Durbin (D-IL),1,6
629,Enzi (R-WY),0,6
630,Ernst (R-IA),0,6
631,Feinstein (D-CA),2,6
632,Fischer (R-NE),0,6
633,Flake (R-AZ),0,6
634,Franken (D-MN),1,6
635,Gardner (R-CO),0,6
636,Gillibrand (D-NY),1,6
637,Graham (R-SC),0,6
638,Grassley (R-IA),1,6
639,Harris (D-CA),1,6
640,Hassan (D-NH),1,6
641,Hatch (R-UT),1,6
642,Heinrich (D-NM),1,6
643,Heitkamp (D-ND),1,6
644,Heller (R-NV),0,6
645,Hirono (D-HI),1,6
646,Hoeven (R-ND),0,6
647,Inhofe (R-OK),0,6
648,Isakson (R-GA),0,6
649,Johnson (R-WI),0,6
650,Kaine (D-VA),1,6
651,Kennedy (R-LA),0,6
652,King (I-ME),1,6
653,Klobuchar (D-MN),1,6
654,Lankford (R-OK),0,6
655,Leahy (D-VT),1,6
656,Lee (R-UT),0,6
657,Manchin (D-WV),1,6
658,Markey (D-MA),1,6
659,McCain (R-AZ),0,6
660,McCaskill (D-MO),1,6
661,McConnell (R-KY),0,6
662,Menendez (D-NJ),1,6
663,Merkley (D-OR),1,6
664,Moran (R-KS),0,6
665,Murkowski (R-AK),0,6
666,Murphy (D-CT),1,6
667,Murray (D-WA),1,6
668,Nelson (D-FL),1,6
669,Paul (R-KY),0,6
670,Perdue (R-GA),0,6
671,Peters (D-MI),1,6
672,Portman (R-OH),0,6
673,Reed (D-RI),1,6
674,Risch (R-ID),0,6
675,Roberts (R-KS),0,6
676,Rounds (R-SD),0,6
677,Rubio (R-FL),0,6
678,Sanders (I-VT),1,6
679,Sasse (R-NE),0,6
680,Schatz (D-HI),1,6
681,Schumer (D-NY),1,6
682,Scott (R-SC),0,6
683,Sessions (R-AL),2,6
684,Shaheen (D-NH),1,6
685,Shelby (R-AL),0,6
686,Stabenow (D-MI),1,6
687,Sullivan (R-AK),0,6
688,Tester (D-MT),1,6
689,Thune (R-SD),0,6
690,Tillis (R-NC),0,6
691,Toomey (R-PA),0,6
692,Udall (D-NM),1,6
693,Van Hollen (D-MD),1,6
694,Warner (D-VA),1,6
695,Warren (D-MA),1,6
696,Whitehouse (D-RI),1,6
697,Wicker (R-MS),0,6
698,Wyden (D-OR),1,6
699,Young (R-IN),0,6
700,Alexander (R-TN),1,7
701,Baldwin (D-WI),0,7
702,Barrasso (R-WY),1,7
703,Bennet (D-CO),0,7
704,Blumenthal (D-CT),0,7
705,Blunt (R-MO),1,7
706,Booker (D-NJ),0,7
707,Boozman (R-AR),1,7
708,Brown (D-OH),0,7
709,Burr (R-NC),1,7
710,Cantwell (D-WA),0,7
711,Capito (R-WV),1,7
712,Cardin (D-MD),0,7
713,Carper (D-DE),0,7
714,Casey (D-PA),0,7
715,Cassidy (R-LA),1,7
